Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Actual,Attrition_Probability,Attrition_Prediction,Risk_Tier,AI_Displacement_Score,AI_Displacement_Tier,Quadrant
38,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,0,75,3,1,Laboratory Technician,4,Single,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0,0.016385349,0,Low,68.4,High,Restructuring Candidate
38,Travel_Rarely,268,Research & Development,2,5,Medical,4,1,92,3,1,Research Scientist,3,Married,3057,20471,6,1,13,3,2,1,6,0,1,1,0,0,1,0,0.4266371,0,Medium,29.4,Low,Stable
44,Travel_Rarely,136,Research & Development,28,3,Life Sciences,4,1,32,3,4,Research Director,1,Married,16328,22074,3,0,13,3,3,1,24,1,4,20,6,14,17,0,0.0055705192,0,Low,50.0,Medium,Restructuring Candidate
27,Travel_Rarely,728,Sales,23,1,Medical,2,0,36,2,2,Sales Representative,3,Married,3540,7018,1,0,21,4,4,1,9,5,3,9,8,5,8,0,0.033356275,0,Low,69.8,High,Restructuring Candidate
28,Travel_Frequently,193,Research & Development,2,3,Life Sciences,4,1,52,2,1,Laboratory Technician,4,Married,3867,14222,1,1,12,3,2,1,2,2,3,2,2,2,2,0,0.5002298,1,Medium,68.4,High,Double Exposure
42,Travel_Rarely,691,Sales,8,4,Marketing,3,1,48,3,2,Sales Executive,2,Married,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,0.008630063,0,Low,50.4,Medium,Restructuring Candidate
32,Travel_Frequently,585,Research & Development,10,3,Life Sciences,1,1,56,3,1,Research Scientist,3,Married,3433,17360,6,0,13,3,1,1,10,3,2,5,2,1,3,0,0.5226852,1,Medium,29.4,Low,Retention Priority
26,Travel_Rarely,950,Sales,4,4,Marketing,4,1,48,2,2,Sales Executive,4,Single,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,1,0.23603988,0,Low,50.4,Medium,Restructuring Candidate
29,Travel_Frequently,461,Research & Development,1,3,Life Sciences,4,1,70,4,2,Healthcare Representative,3,Single,6294,23060,8,1,12,3,4,0,10,5,4,3,2,0,2,0,0.277699,0,Low,38.8,Medium,Stable
31,Non-Travel,587,Sales,2,4,Life Sciences,4,0,57,3,3,Sales Executive,3,Divorced,9852,8935,1,1,19,3,1,1,10,5,2,10,8,9,6,0,0.24416384,0,Low,50.4,Medium,Restructuring Candidate
41,Travel_Rarely,1356,Sales,20,2,Marketing,2,0,70,3,1,Sales Representative,2,Single,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,1,0.59336054,1,Medium,69.8,High,Double Exposure
50,Travel_Frequently,1421,Research & Development,2,3,Medical,4,0,30,3,4,Manager,1,Married,17856,9490,2,0,22,4,3,1,32,3,3,2,2,2,2,0,0.00018398637,0,Low,25.4,Low,Stable
33,Travel_Rarely,527,Research & Development,1,4,Other,4,1,63,3,1,Research Scientist,4,Single,2686,5207,1,1,13,3,3,0,10,2,2,10,9,7,8,1,0.031962797,0,Low,29.4,Low,Stable
47,Travel_Rarely,1454,Sales,2,4,Life Sciences,4,0,65,2,1,Sales Representative,4,Single,3294,13137,1,1,18,3,1,0,3,3,2,3,2,1,2,0,0.374921,0,Medium,69.8,High,Restructuring Candidate
41,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,1,94,3,1,Laboratory Technician,1,Married,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0,0.032466028,0,Low,68.4,High,Restructuring Candidate
31,Travel_Rarely,1276,Research & Development,2,1,Medical,4,0,59,1,1,Laboratory Technician,4,Divorced,1129,17536,1,1,11,3,3,3,1,4,3,1,0,0,0,0,0.7119856,1,High,68.4,High,Double Exposure
40,Travel_Rarely,658,Sales,10,4,Marketing,1,1,67,2,3,Sales Executive,2,Divorced,9705,20652,2,0,12,3,2,1,11,2,2,1,0,0,0,0,0.64129466,1,Medium,50.4,Medium,Double Exposure
35,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,1,97,2,2,Healthcare Representative,2,Single,6540,19394,9,0,19,3,3,0,10,5,3,1,1,0,0,0,0.08912358,0,Low,38.8,Medium,Stable
35,Travel_Frequently,200,Research & Development,18,2,Life Sciences,3,1,60,3,3,Manufacturing Director,4,Single,9362,19944,2,0,11,3,3,0,10,2,3,2,2,2,2,0,0.017018,0,Low,35.4,Medium,Stable
55,Travel_Rarely,282,Research & Development,2,2,Medical,4,0,58,1,5,Manager,3,Married,19187,6992,4,0,14,3,4,1,23,5,3,19,9,9,11,0,0.041831963,0,Low,25.4,Low,Stable
58,Travel_Rarely,1055,Research & Development,1,3,Medical,4,0,76,3,5,Research Director,1,Married,19701,22456,3,1,21,4,3,1,32,3,3,9,8,1,5,0,0.0020349254,0,Low,50.0,Medium,Restructuring Candidate
37,Travel_Rarely,1192,Research & Development,5,2,Medical,4,1,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,0,16,3,3,2,8,2,2,6,2,0,4,0,0.0016290692,0,Low,35.4,Medium,Stable
21,Travel_Rarely,996,Research & Development,3,2,Medical,4,1,100,2,1,Research Scientist,3,Single,3230,10531,1,0,17,3,1,0,3,4,4,3,2,1,0,0,0.13716994,0,Low,29.4,Low,Stable
31,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,1,62,2,2,Human Resources,1,Married,6410,17822,3,0,12,3,4,0,9,1,3,2,2,1,0,0,0.57595855,1,Medium,55.2,Medium,Double Exposure
41,Non-Travel,906,Research & Development,5,2,Life Sciences,1,1,95,2,1,Research Scientist,1,Divorced,2107,20293,6,0,17,3,1,1,5,2,1,1,0,0,0,1,0.29240188,0,Low,29.4,Low,Stable
36,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,0,92,3,3,Sales Executive,4,Married,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0,0.0035698747,0,Low,50.4,Medium,Restructuring Candidate
32,Travel_Rarely,371,Sales,19,3,Life Sciences,4,1,80,1,3,Sales Executive,3,Married,9610,3840,3,0,13,3,3,1,10,2,1,4,3,0,2,0,0.24808402,0,Low,50.4,Medium,Restructuring Candidate
39,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,0,48,3,1,Laboratory Technician,3,Married,3755,17872,1,0,11,3,1,1,8,3,3,8,3,0,7,0,0.06875422,0,Low,68.4,High,Restructuring Candidate
22,Travel_Rarely,1256,Research & Development,19,1,Medical,3,1,80,3,1,Research Scientist,4,Married,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0,0.0025413213,0,Low,29.4,Low,Stable
43,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,1,59,2,4,Research Director,2,Divorced,14336,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,0,0.006171065,0,Low,50.0,Medium,Restructuring Candidate
34,Travel_Rarely,1326,Sales,3,3,Other,4,1,81,1,2,Sales Executive,1,Single,4759,15891,3,0,18,3,4,0,15,2,3,13,9,3,12,0,0.053820424,0,Low,50.4,Medium,Restructuring Candidate
28,Travel_Rarely,1083,Research & Development,29,1,Life Sciences,3,1,96,1,2,Manufacturing Director,2,Married,6549,3173,1,0,14,3,2,2,8,2,2,8,6,1,7,0,0.0024382793,0,Low,35.4,Medium,Stable
26,Travel_Rarely,683,Research & Development,2,1,Medical,1,1,36,2,1,Research Scientist,4,Single,3904,4050,0,0,12,3,4,0,5,2,3,4,3,1,1,0,0.002626395,0,Low,29.4,Low,Stable
42,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,1,58,3,5,Manager,4,Married,19232,4933,1,0,11,3,4,0,22,3,3,22,17,11,15,0,0.004624068,0,Low,25.4,Low,Stable
34,Travel_Frequently,426,Research & Development,10,4,Life Sciences,3,1,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,0,13,3,1,1,9,3,3,9,7,7,2,0,0.0026474823,0,Low,35.4,Medium,Stable
56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,0,72,3,1,Research Scientist,2,Married,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,1,0.110802405,0,Low,29.4,Low,Stable
29,Travel_Rarely,1092,Research & Development,1,4,Medical,1,1,36,3,1,Research Scientist,4,Married,4787,26124,9,1,14,3,2,3,4,3,4,2,2,2,2,1,0.011649573,0,Low,29.4,Low,Stable
40,Travel_Rarely,1202,Research & Development,2,1,Medical,2,0,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5,0,20,4,2,3,15,0,3,12,11,11,8,0,0.0024955226,0,Low,38.8,Medium,Stable
24,Travel_Rarely,693,Sales,3,2,Life Sciences,1,0,65,3,2,Sales Executive,3,Single,4577,24785,9,0,14,3,1,0,4,3,3,2,2,2,0,1,0.1653114,0,Low,50.4,Medium,Restructuring Candidate
36,Travel_Rarely,335,Sales,17,2,Marketing,3,1,33,2,2,Sales Executive,2,Married,5507,16822,2,0,16,3,3,2,12,1,1,4,2,1,3,0,0.22429371,0,Low,50.4,Medium,Restructuring Candidate
43,Travel_Frequently,775,Sales,15,3,Life Sciences,4,1,47,2,2,Sales Executive,4,Married,6804,23683,3,0,18,3,3,1,7,5,3,2,2,2,2,0,0.0136310505,0,Low,50.4,Medium,Restructuring Candidate
50,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,99,3,5,Manager,2,Married,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7,0,0.005654493,0,Low,25.4,Low,Stable
34,Travel_Rarely,699,Research & Development,6,1,Medical,2,1,83,3,1,Research Scientist,1,Single,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1,0.0045925514,0,Low,29.4,Low,Stable
42,Non-Travel,179,Human Resources,2,5,Medical,4,1,79,4,2,Human Resources,1,Married,6272,12858,7,0,16,3,1,1,10,3,4,4,3,0,3,0,0.00070411264,0,Low,55.2,Medium,Restructuring Candidate
42,Travel_Frequently,933,Research & Development,19,3,Medical,3,1,57,4,1,Research Scientist,3,Divorced,2759,20366,6,1,12,3,4,0,7,2,3,2,2,2,2,1,0.34228045,0,Medium,29.4,Low,Stable
30,Travel_Rarely,330,Human Resources,1,3,Life Sciences,3,1,46,3,1,Human Resources,3,Divorced,2064,15428,0,0,21,4,1,1,6,3,4,5,3,1,3,0,0.0069519547,0,Low,55.2,Medium,Restructuring Candidate
51,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,34,3,1,Research Scientist,3,Married,2461,10332,9,1,12,3,3,3,18,2,4,10,0,2,7,1,0.11204214,0,Low,29.4,Low,Stable
39,Non-Travel,1251,Sales,21,4,Life Sciences,1,0,32,1,2,Sales Executive,3,Married,5736,3987,6,0,19,3,3,1,10,1,3,3,2,1,2,0,0.04727677,0,Low,50.4,Medium,Restructuring Candidate
37,Travel_Rarely,1373,Research & Development,2,2,Other,4,1,92,2,1,Laboratory Technician,3,Single,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,1,0.88848686,1,High,68.4,High,Double Exposure
31,Travel_Frequently,1327,Research & Development,3,4,Medical,2,1,73,3,3,Research Director,3,Divorced,13675,13523,9,0,12,3,1,1,9,3,3,2,2,2,2,0,0.04333325,0,Low,50.0,Medium,Restructuring Candidate
27,Travel_Rarely,155,Research & Development,4,3,Life Sciences,2,1,87,4,2,Manufacturing Director,2,Married,6142,5174,1,1,20,4,2,1,6,0,3,6,2,0,3,0,0.007444098,0,Low,35.4,Medium,Stable
41,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,1,36,3,2,Research Scientist,1,Divorced,3072,19877,2,0,16,3,1,2,17,2,2,1,0,0,0,0,0.013412956,0,Low,29.4,Low,Stable
47,Travel_Frequently,1309,Sales,4,1,Medical,2,1,99,3,2,Sales Representative,3,Single,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0,0,0.112379976,0,Low,69.8,High,Restructuring Candidate
38,Travel_Rarely,1035,Sales,3,4,Life Sciences,2,1,42,3,2,Sales Executive,4,Single,6861,4981,8,1,12,3,3,0,19,1,3,1,0,0,0,0,0.24327935,0,Low,50.4,Medium,Restructuring Candidate
26,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,1,73,3,1,Research Scientist,1,Single,3102,6582,0,0,22,4,3,0,7,2,3,6,4,0,4,1,0.024511985,0,Low,29.4,Low,Stable
41,Travel_Rarely,314,Human Resources,1,3,Human Resources,4,1,59,2,5,Manager,3,Married,19189,19562,1,0,12,3,2,1,22,3,3,22,7,2,10,0,0.00078875397,0,Low,25.4,Low,Stable
30,Travel_Frequently,109,Research & Development,5,3,Medical,2,0,60,3,1,Laboratory Technician,2,Single,2422,25725,0,0,17,3,1,0,4,3,3,3,2,1,2,1,0.23254761,0,Low,68.4,High,Restructuring Candidate
36,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,1,47,3,1,Laboratory Technician,4,Married,3210,20251,0,0,11,3,3,1,16,4,3,15,13,10,11,0,0.000522355,0,Low,68.4,High,Restructuring Candidate
50,Travel_Frequently,959,Sales,1,4,Other,4,1,81,3,2,Sales Executive,3,Single,4728,17251,3,1,14,3,4,0,5,4,3,0,0,0,0,1,0.16756202,0,Low,50.4,Medium,Restructuring Candidate
24,Travel_Rarely,691,Research & Development,23,3,Medical,2,1,89,4,1,Research Scientist,4,Married,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,0,0.120493375,0,Low,29.4,Low,Stable
31,Travel_Rarely,140,Research & Development,12,1,Medical,3,0,95,3,1,Research Scientist,4,Married,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0,0.008684451,0,Low,29.4,Low,Stable
36,Travel_Rarely,530,Sales,2,4,Life Sciences,3,0,51,3,2,Sales Representative,4,Single,4502,7439,3,0,15,3,3,0,17,2,2,13,7,6,7,0,0.08001641,0,Low,69.8,High,Restructuring Candidate
52,Non-Travel,585,Sales,29,4,Life Sciences,1,1,40,3,1,Sales Representative,4,Divorced,3482,19788,2,0,15,3,2,2,16,3,2,9,8,0,0,0,0.15511075,0,Low,69.8,High,Restructuring Candidate
29,Travel_Rarely,896,Research & Development,18,1,Medical,3,1,86,2,1,Research Scientist,4,Single,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,1,0.7223775,1,High,29.4,Low,Retention Priority
34,Travel_Frequently,829,Research & Development,15,3,Medical,2,1,71,3,4,Research Director,1,Divorced,17007,11929,7,0,14,3,4,2,16,3,2,14,8,6,9,0,0.015841287,0,Low,50.0,Medium,Restructuring Candidate
32,Travel_Rarely,977,Research & Development,2,3,Medical,4,1,45,3,2,Research Scientist,2,Divorced,5470,25518,0,0,13,3,3,2,10,4,2,9,5,1,6,0,0.000110428955,0,Low,29.4,Low,Stable
28,Travel_Rarely,1217,Research & Development,1,3,Medical,3,0,67,3,1,Research Scientist,1,Married,3591,12719,1,0,25,4,3,1,3,3,3,3,2,1,2,0,0.0005041653,0,Low,29.4,Low,Stable
59,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,1,70,2,1,Research Scientist,4,Married,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,0,0.0014745684,0,Low,29.4,Low,Stable
46,Travel_Rarely,228,Sales,3,3,Life Sciences,3,0,51,3,4,Manager,2,Married,16606,11380,8,0,12,3,4,1,23,2,4,13,12,5,1,0,0.009934875,0,Low,25.4,Low,Stable
26,Travel_Rarely,482,Research & Development,1,2,Life Sciences,2,0,90,2,1,Research Scientist,3,Married,2933,14908,1,1,13,3,3,1,1,3,2,1,0,1,0,0,0.20776916,0,Low,29.4,Low,Stable
35,Travel_Frequently,880,Sales,12,4,Other,4,1,36,3,2,Sales Executive,4,Single,4581,10414,3,1,24,4,1,0,13,2,4,11,9,6,7,1,0.48432893,0,Medium,50.4,Medium,Restructuring Candidate
33,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,0,63,2,1,Research Scientist,4,Married,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,0,0.0003171007,0,Low,29.4,Low,Stable
44,Travel_Rarely,625,Research & Development,4,3,Medical,4,1,50,3,2,Healthcare Representative,2,Single,5933,5197,9,0,12,3,4,0,10,2,2,5,2,2,3,0,0.021483619,0,Low,38.8,Medium,Stable
51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,1,51,3,5,Research Director,3,Single,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0,0.08469078,0,Low,50.0,Medium,Restructuring Candidate
40,Non-Travel,218,Research & Development,8,1,Medical,4,1,55,2,3,Research Director,2,Divorced,13757,25178,2,0,11,3,3,1,16,5,3,9,8,4,8,0,0.0032120643,0,Low,50.0,Medium,Restructuring Candidate
39,Travel_Rarely,141,Human Resources,3,3,Human Resources,3,0,44,4,2,Human Resources,2,Married,6389,18767,9,0,15,3,3,1,12,3,1,8,3,3,6,0,0.0064215614,0,Low,55.2,Medium,Restructuring Candidate
48,Travel_Frequently,708,Sales,7,2,Medical,4,0,95,3,1,Sales Representative,3,Married,2655,11740,2,1,11,3,3,2,19,3,3,9,7,7,7,1,0.5716548,1,Medium,69.8,High,Double Exposure
31,Travel_Frequently,715,Sales,2,4,Other,4,1,54,3,2,Sales Executive,1,Single,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3,0,0.58174074,1,Medium,50.4,Medium,Double Exposure
37,Travel_Rarely,309,Sales,10,4,Life Sciences,4,0,88,2,2,Sales Executive,4,Divorced,6694,24223,2,1,14,3,3,3,8,5,3,1,0,0,0,0,0.025574364,0,Low,50.4,Medium,Restructuring Candidate
28,Travel_Rarely,1144,Sales,10,1,Medical,4,1,74,3,1,Sales Representative,2,Married,1052,23384,1,0,22,4,2,0,1,5,3,1,0,0,0,0,0.6575347,1,Medium,69.8,High,Double Exposure
19,Travel_Rarely,419,Sales,21,3,Other,4,1,37,2,1,Sales Representative,2,Single,2121,9947,1,1,13,3,2,0,1,3,4,1,0,0,0,1,0.99907637,1,High,69.8,High,Double Exposure
37,Travel_Frequently,663,Research & Development,11,3,Other,2,1,47,3,3,Research Director,4,Divorced,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,0,0.012822875,0,Low,50.0,Medium,Restructuring Candidate
25,Travel_Rarely,266,Research & Development,1,3,Medical,4,0,40,3,1,Research Scientist,2,Single,2096,18830,1,0,18,3,4,0,2,3,2,2,2,2,1,0,0.118289195,0,Low,29.4,Low,Stable
41,Travel_Rarely,427,Human Resources,10,4,Human Resources,2,1,73,2,5,Manager,4,Divorced,19141,8861,3,0,15,3,2,3,23,2,2,21,6,12,6,0,0.005240318,0,Low,25.4,Low,Stable
22,Non-Travel,1123,Research & Development,16,2,Medical,4,1,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0,0.551038,1,Medium,68.4,High,Double Exposure
53,Travel_Rarely,102,Research & Development,23,4,Life Sciences,4,0,72,3,4,Research Director,4,Single,14275,20206,6,0,18,3,3,0,33,0,3,12,9,3,8,0,0.0035909365,0,Low,50.0,Medium,Restructuring Candidate
50,Travel_Rarely,1464,Research & Development,2,4,Medical,2,1,62,3,5,Research Director,3,Married,19237,12853,2,1,11,3,4,1,29,2,2,8,1,7,7,0,0.011021951,0,Low,50.0,Medium,Restructuring Candidate
44,Non-Travel,381,Research & Development,24,3,Medical,1,1,49,1,1,Laboratory Technician,3,Single,3708,2104,2,0,14,3,3,0,9,5,3,5,2,1,4,0,0.32956603,0,Low,68.4,High,Restructuring Candidate
43,Travel_Rarely,1179,Sales,2,3,Medical,4,1,73,3,2,Sales Executive,4,Married,7847,6069,1,1,17,3,1,1,10,3,3,10,9,8,8,0,0.012862791,0,Low,50.4,Medium,Restructuring Candidate
54,Travel_Rarely,155,Research & Development,9,2,Life Sciences,1,0,67,3,2,Research Scientist,3,Married,2897,22474,3,0,11,3,3,2,9,6,2,4,3,2,3,0,0.0028641731,0,Low,29.4,Low,Stable
36,Travel_Rarely,216,Research & Development,6,2,Medical,2,1,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0,0.0027585481,0,Low,35.4,Medium,Stable
46,Travel_Rarely,168,Sales,4,2,Marketing,4,0,33,2,5,Manager,2,Married,18789,9946,2,0,14,3,3,1,26,2,3,11,4,0,8,0,0.001335925,0,Low,25.4,Low,Stable
55,Travel_Rarely,478,Research & Development,2,3,Medical,3,1,60,2,5,Research Director,1,Married,19038,19805,8,0,12,3,2,3,34,2,3,1,0,0,0,0,0.0026052932,0,Low,50.0,Medium,Restructuring Candidate
39,Travel_Rarely,1089,Research & Development,6,3,Life Sciences,2,0,32,3,3,Manufacturing Director,2,Single,8376,9150,4,0,18,3,4,0,9,3,3,2,0,2,2,0,0.008624758,0,Low,35.4,Medium,Stable
21,Travel_Frequently,756,Sales,1,1,Technical Degree,1,0,99,2,1,Sales Representative,2,Single,2174,9150,1,1,11,3,3,0,3,3,3,3,2,1,2,1,0.99297637,1,High,69.8,High,Double Exposure
43,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,0,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0,0,0.09374514,0,Low,68.4,High,Restructuring Candidate
51,Travel_Rarely,1169,Research & Development,7,4,Medical,2,1,34,2,2,Manufacturing Director,3,Married,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0,0.008007497,0,Low,35.4,Medium,Stable
31,Travel_Rarely,1398,Human Resources,8,2,Medical,4,0,96,4,1,Human Resources,2,Single,2109,24609,9,0,18,3,4,0,8,3,3,3,2,0,2,0,0.041308466,0,Low,55.2,Medium,Restructuring Candidate
33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,0,56,3,1,Research Scientist,3,Married,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0,0.53324974,1,Medium,29.4,Low,Retention Priority
50,Travel_Rarely,869,Sales,3,2,Marketing,1,1,86,2,1,Sales Representative,3,Married,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,1,0.1868996,0,Low,69.8,High,Restructuring Candidate
45,Travel_Rarely,1234,Sales,11,2,Life Sciences,4,0,90,3,4,Manager,4,Married,17650,5404,3,0,13,3,2,1,26,4,4,9,3,1,1,0,0.00033158038,0,Low,25.4,Low,Stable
33,Travel_Frequently,827,Research & Development,1,4,Other,3,0,84,4,2,Healthcare Representative,2,Married,5488,20161,1,1,13,3,1,1,6,2,3,6,5,1,2,0,0.028974868,0,Low,38.8,Medium,Stable
28,Non-Travel,1366,Research & Development,24,2,Technical Degree,2,1,72,2,3,Healthcare Representative,1,Single,8722,12355,1,0,12,3,1,0,10,2,2,10,7,1,9,1,0.07918649,0,Low,38.8,Medium,Stable
18,Travel_Rarely,812,Sales,10,3,Medical,4,0,69,2,1,Sales Representative,3,Single,1200,9724,1,0,12,3,1,0,0,2,3,0,0,0,0,0,0.944369,1,High,69.8,High,Double Exposure
35,Travel_Rarely,583,Research & Development,25,4,Medical,3,0,57,3,3,Healthcare Representative,3,Divorced,10388,6975,1,1,11,3,3,1,16,3,2,16,10,10,1,0,0.083521985,0,Low,38.8,Medium,Stable
38,Travel_Frequently,1186,Research & Development,3,4,Other,3,1,44,3,1,Research Scientist,3,Married,2821,2997,3,0,16,3,1,1,8,2,3,2,2,2,2,0,0.0028050374,0,Low,29.4,Low,Stable
24,Travel_Rarely,823,Research & Development,17,2,Other,4,1,94,2,1,Laboratory Technician,2,Married,2127,9100,1,0,21,4,4,1,1,2,3,1,0,0,0,0,0.5672904,1,Medium,68.4,High,Double Exposure
35,Travel_Rarely,538,Research & Development,25,2,Other,1,1,54,2,2,Laboratory Technician,4,Single,3681,14004,4,0,14,3,4,0,9,3,3,3,2,0,2,0,0.0985283,0,Low,68.4,High,Restructuring Candidate
33,Travel_Rarely,922,Research & Development,1,5,Medical,1,0,95,4,4,Research Director,3,Divorced,16184,22578,4,0,19,3,3,1,10,2,3,6,1,0,5,0,0.00040984107,0,Low,50.0,Medium,Restructuring Candidate
37,Travel_Rarely,124,Research & Development,3,3,Other,4,0,35,3,2,Healthcare Representative,2,Single,4107,13848,3,0,15,3,1,0,8,3,2,4,3,0,1,0,0.027383434,0,Low,38.8,Medium,Stable
36,Travel_Rarely,796,Research & Development,12,5,Medical,4,0,51,2,3,Manufacturing Director,4,Single,8858,15669,0,0,11,3,2,0,15,2,2,14,8,7,8,0,0.018462526,0,Low,35.4,Medium,Stable
24,Travel_Rarely,1206,Research & Development,17,1,Medical,4,0,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2,0,0.0018111228,0,Low,35.4,Medium,Stable
28,Travel_Rarely,995,Research & Development,9,3,Medical,3,0,77,3,1,Research Scientist,3,Divorced,2377,9834,5,0,18,3,2,1,6,2,3,2,2,2,2,0,0.010712292,0,Low,29.4,Low,Stable
39,Travel_Rarely,492,Research & Development,12,3,Medical,4,1,66,3,2,Manufacturing Director,2,Married,5295,7693,4,0,21,4,3,0,7,3,3,5,4,1,0,0,0.06579068,0,Low,35.4,Medium,Stable
37,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,1,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0,0.0067148423,0,Low,38.8,Medium,Stable
41,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,1,91,2,4,Manager,1,Divorced,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0,0.031710315,0,Low,25.4,Low,Stable
25,Travel_Rarely,882,Research & Development,19,1,Medical,4,1,67,3,1,Laboratory Technician,4,Married,3669,9075,3,0,11,3,3,3,7,6,2,3,2,1,2,0,0.029342744,0,Low,68.4,High,Restructuring Candidate
26,Travel_Rarely,1384,Research & Development,3,4,Medical,1,1,82,4,1,Laboratory Technician,4,Married,4420,13421,1,0,22,4,2,1,8,2,3,8,7,0,7,0,0.01324031,0,Low,68.4,High,Restructuring Candidate
21,Travel_Rarely,1427,Research & Development,18,1,Other,4,0,65,3,1,Research Scientist,4,Single,2693,8870,1,0,19,3,1,0,1,3,2,1,0,0,0,1,0.06088945,0,Low,29.4,Low,Stable
26,Travel_Rarely,474,Research & Development,3,3,Life Sciences,1,0,89,3,1,Research Scientist,4,Married,2061,11133,1,0,21,4,1,0,1,5,3,1,0,0,0,0,0.045668688,0,Low,29.4,Low,Stable
53,Travel_Rarely,607,Research & Development,2,5,Technical Degree,3,0,78,2,3,Manufacturing Director,4,Married,10169,14618,0,0,16,3,2,1,34,4,3,33,7,1,9,1,0.00043389839,0,Low,35.4,Medium,Stable
22,Travel_Rarely,534,Research & Development,15,3,Medical,2,0,59,3,1,Laboratory Technician,4,Single,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0,0.47113878,0,Medium,68.4,High,Restructuring Candidate
29,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,3,1,81,4,1,Research Scientist,3,Married,2700,23779,1,0,24,4,3,1,10,3,3,10,7,0,7,0,0.00058259204,0,Low,29.4,Low,Stable
35,Travel_Rarely,185,Research & Development,23,4,Medical,2,1,91,1,1,Laboratory Technician,3,Married,2705,9696,0,0,16,3,2,1,6,2,4,5,4,0,3,0,0.041099686,0,Low,68.4,High,Restructuring Candidate
